Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
[PG] Iter 267/500 | Mean Reward=-87.86
[PG] Iter 268/500 | Mean Reward=-65.01
[PG] Iter 269/500 | Mean Reward=-43.94
[PG] Iter 270/500 | Mean Reward=-165.16
Saved latest PG checkpoint (iter 270) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 271/500 | Mean Reward=-131.81
[PG] Iter 272/500 | Mean Reward=-111.08
[PG] Iter 273/500 | Mean Reward=-150.00
[PG] Iter 274/500 | Mean Reward=-86.46
[PG] Iter 275/500 | Mean Reward=-49.49
[PG] Iter 276/500 | Mean Reward=-46.23
[PG] Iter 277/500 | Mean Reward=-134.96
[PG] Iter 278/500 | Mean Reward=-90.86
[PG] Iter 279/500 | Mean Reward=-104.52
[PG] Iter 280/500 | Mean Reward=-131.81
Saved latest PG checkpoint (iter 280) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 281/500 | Mean Reward=-78.01
[PG] Iter 282/500 | Mean Reward=-142.67
[PG] Iter 283/500 | Mean Reward=-109.30
[PG] Iter 284/500 | Mean Reward=-167.66
[PG] Iter 285/500 | Mean Reward=-133.26
[PG] Iter 286/500 | Mean Reward=-65.44
[PG] Iter 287/500 | Mean Reward=-123.72
[PG] Iter 288/500 | Mean Reward=-150.14
[PG] Iter 289/500 | Mean Reward=-123.06
[PG] Iter 290/500 | Mean Reward=-138.16
Saved latest PG checkpoint (iter 290) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 291/500 | Mean Reward=-152.13
[PG] Iter 292/500 | Mean Reward=-132.78
[PG] Iter 293/500 | Mean Reward=-115.65
[PG] Iter 294/500 | Mean Reward=-80.59
[PG] Iter 295/500 | Mean Reward=-95.03
[PG] Iter 296/500 | Mean Reward=-85.58
[PG] Iter 297/500 | Mean Reward=-95.71
[PG] Iter 298/500 | Mean Reward=-88.15
[PG] Iter 299/500 | Mean Reward=-50.09
[PG] Iter 300/500 | Mean Reward=-69.38
Saved latest PG checkpoint (iter 300) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 301/500 | Mean Reward=-64.60
[PG] Iter 302/500 | Mean Reward=-142.86
[PG] Iter 303/500 | Mean Reward=-64.08
[PG] Iter 304/500 | Mean Reward=-115.67
[PG] Iter 305/500 | Mean Reward=-67.90
[PG] Iter 306/500 | Mean Reward=-49.08
[PG] Iter 307/500 | Mean Reward=-56.70
[PG] Iter 308/500 | Mean Reward=-83.04
[PG] Iter 309/500 | Mean Reward=-62.89
[PG] Iter 310/500 | Mean Reward=-117.21
Saved latest PG checkpoint (iter 310) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 311/500 | Mean Reward=-35.83
[PG] Iter 312/500 | Mean Reward=-68.38
[PG] Iter 313/500 | Mean Reward=-41.44
[PG] Iter 314/500 | Mean Reward=-32.74
[PG] Iter 315/500 | Mean Reward=-75.44
[PG] Iter 316/500 | Mean Reward=-34.39
[PG] Iter 317/500 | Mean Reward=-60.21
