Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=False
Saved latest PG checkpoint (iter 280) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 281/500 | Mean Reward=-63.80
[PG] Iter 282/500 | Mean Reward=-52.49
[PG] Iter 283/500 | Mean Reward=-32.17
[PG] Iter 284/500 | Mean Reward=-37.49
[PG] Iter 285/500 | Mean Reward=-72.50
[PG] Iter 286/500 | Mean Reward=-86.20
[PG] Iter 287/500 | Mean Reward=-44.46
[PG] Iter 288/500 | Mean Reward=-57.19
[PG] Iter 289/500 | Mean Reward=-81.08
[PG] Iter 290/500 | Mean Reward=-42.67
Saved latest PG checkpoint (iter 290) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 291/500 | Mean Reward=-66.80
[PG] Iter 292/500 | Mean Reward=-54.37
[PG] Iter 293/500 | Mean Reward=-45.69
[PG] Iter 294/500 | Mean Reward=-52.36
[PG] Iter 295/500 | Mean Reward=-52.87
[PG] Iter 296/500 | Mean Reward=-28.96
[PG] Iter 297/500 | Mean Reward=-32.62
[PG] Iter 298/500 | Mean Reward=-32.46
[PG] Iter 299/500 | Mean Reward=-49.27
[PG] Iter 300/500 | Mean Reward=-54.78
Saved latest PG checkpoint (iter 300) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 301/500 | Mean Reward=-79.31
[PG] Iter 302/500 | Mean Reward=-33.78
[PG] Iter 303/500 | Mean Reward=-67.90
[PG] Iter 304/500 | Mean Reward=-84.94
[PG] Iter 305/500 | Mean Reward=-46.88
[PG] Iter 306/500 | Mean Reward=-55.09
[PG] Iter 307/500 | Mean Reward=-53.42
[PG] Iter 308/500 | Mean Reward=-17.58
[PG] Iter 309/500 | Mean Reward=-74.56
[PG] Iter 310/500 | Mean Reward=-20.72
Saved latest PG checkpoint (iter 310) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 311/500 | Mean Reward=-68.51
[PG] Iter 312/500 | Mean Reward=-15.69
[PG] Iter 313/500 | Mean Reward=-35.83
[PG] Iter 314/500 | Mean Reward=-72.04
[PG] Iter 315/500 | Mean Reward=-51.85
[PG] Iter 316/500 | Mean Reward=-29.41
[PG] Iter 317/500 | Mean Reward=-43.94
[PG] Iter 318/500 | Mean Reward=-42.35
[PG] Iter 319/500 | Mean Reward=-25.92
[PG] Iter 320/500 | Mean Reward=-36.72
Saved latest PG checkpoint (iter 320) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 321/500 | Mean Reward=-77.73
[PG] Iter 322/500 | Mean Reward=-35.19
[PG] Iter 323/500 | Mean Reward=-68.56
[PG] Iter 324/500 | Mean Reward=-68.83
[PG] Iter 325/500 | Mean Reward=-29.47
[PG] Iter 326/500 | Mean Reward=-44.46
[PG] Iter 327/500 | Mean Reward=-33.30
[PG] Iter 328/500 | Mean Reward=-49.55
[PG] Iter 329/500 | Mean Reward=-61.28
[PG] Iter 330/500 | Mean Reward=-50.39
Saved latest PG checkpoint (iter 330) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 331/500 | Mean Reward=-59.28
[PG] Iter 332/500 | Mean Reward=-30.98
[PG] Iter 333/500 | Mean Reward=-74.57
[PG] Iter 334/500 | Mean Reward=-57.93
[PG] Iter 335/500 | Mean Reward=-20.24
[PG] Iter 336/500 | Mean Reward=-41.25
[PG] Iter 337/500 | Mean Reward=-41.23
[PG] Iter 338/500 | Mean Reward=-40.80
[PG] Iter 339/500 | Mean Reward=-33.08
[PG] Iter 340/500 | Mean Reward=-11.02
Saved latest PG checkpoint (iter 340) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 341/500 | Mean Reward=-44.22
[PG] Iter 342/500 | Mean Reward=-80.06
[PG] Iter 343/500 | Mean Reward=-68.73
[PG] Iter 344/500 | Mean Reward=-45.27
[PG] Iter 345/500 | Mean Reward=-32.58
[PG] Iter 346/500 | Mean Reward=-40.08
[PG] Iter 347/500 | Mean Reward=-54.37
[PG] Iter 348/500 | Mean Reward=-86.26
[PG] Iter 349/500 | Mean Reward=-72.48
[PG] Iter 350/500 | Mean Reward=-89.45
Saved latest PG checkpoint (iter 350) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 351/500 | Mean Reward=-73.67
[PG] Iter 352/500 | Mean Reward=-58.21
[PG] Iter 353/500 | Mean Reward=-65.49
[PG] Iter 354/500 | Mean Reward=-63.71
[PG] Iter 355/500 | Mean Reward=-98.13
[PG] Iter 356/500 | Mean Reward=-66.14
[PG] Iter 357/500 | Mean Reward=-47.83
[PG] Iter 358/500 | Mean Reward=-23.83
[PG] Iter 359/500 | Mean Reward=-76.83
[PG] Iter 360/500 | Mean Reward=-23.27
Saved latest PG checkpoint (iter 360) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 361/500 | Mean Reward=-52.48
[PG] Iter 362/500 | Mean Reward=-65.14
[PG] Iter 363/500 | Mean Reward=-57.39
[PG] Iter 364/500 | Mean Reward=-36.27
[PG] Iter 365/500 | Mean Reward=-96.22
[PG] Iter 366/500 | Mean Reward=-97.61
