Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=False
[PG] Iter 353/500 | Mean Reward=60.67
[PG] Iter 354/500 | Mean Reward=51.21
[PG] Iter 355/500 | Mean Reward=67.33
[PG] Iter 356/500 | Mean Reward=84.60
[PG] Iter 357/500 | Mean Reward=65.80
[PG] Iter 358/500 | Mean Reward=54.42
[PG] Iter 359/500 | Mean Reward=71.46
[PG] Iter 360/500 | Mean Reward=47.41
Saved latest PG checkpoint (iter 360) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 361/500 | Mean Reward=112.79
[PG] Iter 362/500 | Mean Reward=70.14
[PG] Iter 363/500 | Mean Reward=105.86
[PG] Iter 364/500 | Mean Reward=80.00
[PG] Iter 365/500 | Mean Reward=87.78
[PG] Iter 366/500 | Mean Reward=102.76
[PG] Iter 367/500 | Mean Reward=84.88
[PG] Iter 368/500 | Mean Reward=45.43
[PG] Iter 369/500 | Mean Reward=89.18
[PG] Iter 370/500 | Mean Reward=52.14
Saved latest PG checkpoint (iter 370) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 371/500 | Mean Reward=95.25
[PG] Iter 372/500 | Mean Reward=79.22
[PG] Iter 373/500 | Mean Reward=53.44
[PG] Iter 374/500 | Mean Reward=79.29
[PG] Iter 375/500 | Mean Reward=128.52
[PG] Iter 376/500 | Mean Reward=55.65
[PG] Iter 377/500 | Mean Reward=118.58
[PG] Iter 378/500 | Mean Reward=46.34
[PG] Iter 379/500 | Mean Reward=102.64
[PG] Iter 380/500 | Mean Reward=119.87
Saved latest PG checkpoint (iter 380) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 381/500 | Mean Reward=98.14
[PG] Iter 382/500 | Mean Reward=110.84
[PG] Iter 383/500 | Mean Reward=107.71
[PG] Iter 384/500 | Mean Reward=92.35
[PG] Iter 385/500 | Mean Reward=79.27
[PG] Iter 386/500 | Mean Reward=74.05
[PG] Iter 387/500 | Mean Reward=93.38
[PG] Iter 388/500 | Mean Reward=90.75
[PG] Iter 389/500 | Mean Reward=106.91
[PG] Iter 390/500 | Mean Reward=104.52
Saved latest PG checkpoint (iter 390) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 391/500 | Mean Reward=67.87
[PG] Iter 392/500 | Mean Reward=54.84
[PG] Iter 393/500 | Mean Reward=73.72
[PG] Iter 394/500 | Mean Reward=80.57
[PG] Iter 395/500 | Mean Reward=61.62
[PG] Iter 396/500 | Mean Reward=73.40
[PG] Iter 397/500 | Mean Reward=68.67
[PG] Iter 398/500 | Mean Reward=81.94
[PG] Iter 399/500 | Mean Reward=96.07
[PG] Iter 400/500 | Mean Reward=82.33
Saved latest PG checkpoint (iter 400) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 401/500 | Mean Reward=124.64
[PG] Iter 402/500 | Mean Reward=62.39
[PG] Iter 403/500 | Mean Reward=100.60
[PG] Iter 404/500 | Mean Reward=89.46
[PG] Iter 405/500 | Mean Reward=114.35
[PG] Iter 406/500 | Mean Reward=93.07
[PG] Iter 407/500 | Mean Reward=127.05
[PG] Iter 408/500 | Mean Reward=85.19
[PG] Iter 409/500 | Mean Reward=108.93
[PG] Iter 410/500 | Mean Reward=89.64
Saved latest PG checkpoint (iter 410) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 411/500 | Mean Reward=96.39
[PG] Iter 412/500 | Mean Reward=115.56
[PG] Iter 413/500 | Mean Reward=123.58
[PG] Iter 414/500 | Mean Reward=117.82
[PG] Iter 415/500 | Mean Reward=131.38
[PG] Iter 416/500 | Mean Reward=107.32
[PG] Iter 417/500 | Mean Reward=84.23
[PG] Iter 418/500 | Mean Reward=120.79
[PG] Iter 419/500 | Mean Reward=116.52
[PG] Iter 420/500 | Mean Reward=88.43
Saved latest PG checkpoint (iter 420) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 421/500 | Mean Reward=113.61
[PG] Iter 422/500 | Mean Reward=118.16
[PG] Iter 423/500 | Mean Reward=124.49
[PG] Iter 424/500 | Mean Reward=83.50
[PG] Iter 425/500 | Mean Reward=103.66
[PG] Iter 426/500 | Mean Reward=132.70
[PG] Iter 427/500 | Mean Reward=78.61
[PG] Iter 428/500 | Mean Reward=67.87
[PG] Iter 429/500 | Mean Reward=144.84
[PG] Iter 430/500 | Mean Reward=69.66
Saved latest PG checkpoint (iter 430) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 431/500 | Mean Reward=80.68
[PG] Iter 432/500 | Mean Reward=115.91
[PG] Iter 433/500 | Mean Reward=82.85
[PG] Iter 434/500 | Mean Reward=152.41
[PG] Iter 435/500 | Mean Reward=88.80
[PG] Iter 436/500 | Mean Reward=64.85
[PG] Iter 437/500 | Mean Reward=88.87
[PG] Iter 438/500 | Mean Reward=118.80
[PG] Iter 439/500 | Mean Reward=85.78
[PG] Iter 440/500 | Mean Reward=105.67
Saved latest PG checkpoint (iter 440) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 441/500 | Mean Reward=111.31
[PG] Iter 442/500 | Mean Reward=106.06
[PG] Iter 443/500 | Mean Reward=93.16
[PG] Iter 444/500 | Mean Reward=110.57
[PG] Iter 445/500 | Mean Reward=102.06
[PG] Iter 446/500 | Mean Reward=98.56
[PG] Iter 447/500 | Mean Reward=107.29
[PG] Iter 448/500 | Mean Reward=116.64
[PG] Iter 449/500 | Mean Reward=121.55
[PG] Iter 450/500 | Mean Reward=117.91
Saved latest PG checkpoint (iter 450) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 451/500 | Mean Reward=102.51
[PG] Iter 452/500 | Mean Reward=124.98
[PG] Iter 453/500 | Mean Reward=91.33
[PG] Iter 454/500 | Mean Reward=121.86
[PG] Iter 455/500 | Mean Reward=97.83
[PG] Iter 456/500 | Mean Reward=144.80
[PG] Iter 457/500 | Mean Reward=122.34
[PG] Iter 458/500 | Mean Reward=120.30
[PG] Iter 459/500 | Mean Reward=127.84
[PG] Iter 460/500 | Mean Reward=144.85
