Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 308/500 | Mean Reward=57.37
[PG] Iter 309/500 | Mean Reward=101.33
[PG] Iter 310/500 | Mean Reward=77.18
Saved latest PG checkpoint (iter 310) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 311/500 | Mean Reward=52.87
[PG] Iter 312/500 | Mean Reward=73.96
[PG] Iter 313/500 | Mean Reward=83.04
[PG] Iter 314/500 | Mean Reward=64.86
[PG] Iter 315/500 | Mean Reward=27.14
[PG] Iter 316/500 | Mean Reward=69.61
[PG] Iter 317/500 | Mean Reward=74.82
[PG] Iter 318/500 | Mean Reward=75.10
[PG] Iter 319/500 | Mean Reward=77.29
[PG] Iter 320/500 | Mean Reward=45.00
Saved latest PG checkpoint (iter 320) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 321/500 | Mean Reward=48.17
[PG] Iter 322/500 | Mean Reward=63.48
[PG] Iter 323/500 | Mean Reward=73.80
[PG] Iter 324/500 | Mean Reward=63.23
[PG] Iter 325/500 | Mean Reward=103.58
[PG] Iter 326/500 | Mean Reward=36.70
[PG] Iter 327/500 | Mean Reward=34.38
[PG] Iter 328/500 | Mean Reward=55.25
[PG] Iter 329/500 | Mean Reward=98.16
[PG] Iter 330/500 | Mean Reward=91.92
Saved latest PG checkpoint (iter 330) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 331/500 | Mean Reward=33.16
[PG] Iter 332/500 | Mean Reward=79.53
[PG] Iter 333/500 | Mean Reward=102.71
[PG] Iter 334/500 | Mean Reward=53.22
[PG] Iter 335/500 | Mean Reward=45.22
[PG] Iter 336/500 | Mean Reward=108.55
[PG] Iter 337/500 | Mean Reward=56.19
[PG] Iter 338/500 | Mean Reward=66.62
[PG] Iter 339/500 | Mean Reward=77.80
[PG] Iter 340/500 | Mean Reward=95.79
Saved latest PG checkpoint (iter 340) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 341/500 | Mean Reward=59.43
[PG] Iter 342/500 | Mean Reward=104.60
[PG] Iter 343/500 | Mean Reward=73.88
[PG] Iter 344/500 | Mean Reward=100.66
[PG] Iter 345/500 | Mean Reward=76.40
[PG] Iter 346/500 | Mean Reward=125.66
[PG] Iter 347/500 | Mean Reward=92.05
[PG] Iter 348/500 | Mean Reward=107.88
[PG] Iter 349/500 | Mean Reward=63.58
[PG] Iter 350/500 | Mean Reward=79.37
Saved latest PG checkpoint (iter 350) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 351/500 | Mean Reward=117.07
[PG] Iter 352/500 | Mean Reward=134.70
[PG] Iter 353/500 | Mean Reward=70.45
[PG] Iter 354/500 | Mean Reward=133.26
[PG] Iter 355/500 | Mean Reward=99.27
[PG] Iter 356/500 | Mean Reward=72.16
[PG] Iter 357/500 | Mean Reward=117.16
[PG] Iter 358/500 | Mean Reward=110.39
[PG] Iter 359/500 | Mean Reward=75.47
[PG] Iter 360/500 | Mean Reward=64.70
Saved latest PG checkpoint (iter 360) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 361/500 | Mean Reward=128.11
[PG] Iter 362/500 | Mean Reward=84.67
[PG] Iter 363/500 | Mean Reward=133.31
[PG] Iter 364/500 | Mean Reward=119.14
[PG] Iter 365/500 | Mean Reward=149.25
[PG] Iter 366/500 | Mean Reward=109.70
[PG] Iter 367/500 | Mean Reward=55.86
[PG] Iter 368/500 | Mean Reward=128.57
[PG] Iter 369/500 | Mean Reward=150.50
[PG] Iter 370/500 | Mean Reward=94.04
Saved latest PG checkpoint (iter 370) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 371/500 | Mean Reward=-3.23
[PG] Iter 372/500 | Mean Reward=113.75
[PG] Iter 373/500 | Mean Reward=140.62
[PG] Iter 374/500 | Mean Reward=91.85
[PG] Iter 375/500 | Mean Reward=105.22
[PG] Iter 376/500 | Mean Reward=79.44
[PG] Iter 377/500 | Mean Reward=123.70
[PG] Iter 378/500 | Mean Reward=98.55
[PG] Iter 379/500 | Mean Reward=67.32
[PG] Iter 380/500 | Mean Reward=88.67
Saved latest PG checkpoint (iter 380) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 381/500 | Mean Reward=104.58
[PG] Iter 382/500 | Mean Reward=117.86
[PG] Iter 383/500 | Mean Reward=133.08
[PG] Iter 384/500 | Mean Reward=107.31
[PG] Iter 385/500 | Mean Reward=51.77
[PG] Iter 386/500 | Mean Reward=83.80
[PG] Iter 387/500 | Mean Reward=141.05
[PG] Iter 388/500 | Mean Reward=94.82
[PG] Iter 389/500 | Mean Reward=124.72
[PG] Iter 390/500 | Mean Reward=91.19
Saved latest PG checkpoint (iter 390) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 391/500 | Mean Reward=80.42
[PG] Iter 392/500 | Mean Reward=119.61
[PG] Iter 393/500 | Mean Reward=99.43
[PG] Iter 394/500 | Mean Reward=121.11
[PG] Iter 395/500 | Mean Reward=149.45
[PG] Iter 396/500 | Mean Reward=94.16
[PG] Iter 397/500 | Mean Reward=137.34
[PG] Iter 398/500 | Mean Reward=144.90
[PG] Iter 399/500 | Mean Reward=135.19
[PG] Iter 400/500 | Mean Reward=147.09
Saved latest PG checkpoint (iter 400) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 401/500 | Mean Reward=71.28
[PG] Iter 402/500 | Mean Reward=98.58
[PG] Iter 403/500 | Mean Reward=107.65
[PG] Iter 404/500 | Mean Reward=121.64
[PG] Iter 405/500 | Mean Reward=122.49
[PG] Iter 406/500 | Mean Reward=73.92
[PG] Iter 407/500 | Mean Reward=86.38
[PG] Iter 408/500 | Mean Reward=96.98
[PG] Iter 409/500 | Mean Reward=98.15
[PG] Iter 410/500 | Mean Reward=120.46
Saved latest PG checkpoint (iter 410) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 411/500 | Mean Reward=91.19
[PG] Iter 412/500 | Mean Reward=68.83
[PG] Iter 413/500 | Mean Reward=106.80
[PG] Iter 414/500 | Mean Reward=92.43
[PG] Iter 415/500 | Mean Reward=136.59
[PG] Iter 416/500 | Mean Reward=95.55
[PG] Iter 417/500 | Mean Reward=120.14
[PG] Iter 418/500 | Mean Reward=65.08
[PG] Iter 419/500 | Mean Reward=137.80
[PG] Iter 420/500 | Mean Reward=96.53
Saved latest PG checkpoint (iter 420) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 421/500 | Mean Reward=133.82
[PG] Iter 422/500 | Mean Reward=105.18
[PG] Iter 423/500 | Mean Reward=132.99
[PG] Iter 424/500 | Mean Reward=138.93
[PG] Iter 425/500 | Mean Reward=146.35
[PG] Iter 426/500 | Mean Reward=121.72
[PG] Iter 427/500 | Mean Reward=115.97
[PG] Iter 428/500 | Mean Reward=122.83
[PG] Iter 429/500 | Mean Reward=107.63
[PG] Iter 430/500 | Mean Reward=69.08
Saved latest PG checkpoint (iter 430) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 431/500 | Mean Reward=72.69
[PG] Iter 432/500 | Mean Reward=92.72
[PG] Iter 433/500 | Mean Reward=118.88
[PG] Iter 434/500 | Mean Reward=105.23
[PG] Iter 435/500 | Mean Reward=85.69
