Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
Saved latest PG checkpoint (iter 200) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 201/350 | Mean Reward=396.67
[PG] Iter 202/350 | Mean Reward=287.50
[PG] Iter 203/350 | Mean Reward=382.33
[PG] Iter 204/350 | Mean Reward=348.75
[PG] Iter 205/350 | Mean Reward=351.75
[PG] Iter 206/350 | Mean Reward=500.00
[PG] Iter 207/350 | Mean Reward=350.75
[PG] Iter 208/350 | Mean Reward=425.33
[PG] Iter 209/350 | Mean Reward=351.67
[PG] Iter 210/350 | Mean Reward=379.00
Saved latest PG checkpoint (iter 210) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 211/350 | Mean Reward=278.75
[PG] Iter 212/350 | Mean Reward=382.67
[PG] Iter 213/350 | Mean Reward=500.00
[PG] Iter 214/350 | Mean Reward=443.00
[PG] Iter 215/350 | Mean Reward=388.33
[PG] Iter 216/350 | Mean Reward=358.67
[PG] Iter 217/350 | Mean Reward=412.00
[PG] Iter 218/350 | Mean Reward=368.67
[PG] Iter 219/350 | Mean Reward=458.33
[PG] Iter 220/350 | Mean Reward=360.75
Saved latest PG checkpoint (iter 220) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 221/350 | Mean Reward=372.33
[PG] Iter 222/350 | Mean Reward=379.67
[PG] Iter 223/350 | Mean Reward=495.67
[PG] Iter 224/350 | Mean Reward=376.00
[PG] Iter 225/350 | Mean Reward=343.33
[PG] Iter 226/350 | Mean Reward=500.00
[PG] Iter 227/350 | Mean Reward=500.00
[PG] Iter 228/350 | Mean Reward=365.00
[PG] Iter 229/350 | Mean Reward=431.67
[PG] Iter 230/350 | Mean Reward=493.67
Saved latest PG checkpoint (iter 230) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 231/350 | Mean Reward=500.00
[PG] Iter 232/350 | Mean Reward=500.00
[PG] Iter 233/350 | Mean Reward=500.00
[PG] Iter 234/350 | Mean Reward=500.00
[PG] Iter 235/350 | Mean Reward=337.00
[PG] Iter 236/350 | Mean Reward=496.67
[PG] Iter 237/350 | Mean Reward=468.33
[PG] Iter 238/350 | Mean Reward=371.75
[PG] Iter 239/350 | Mean Reward=358.33
[PG] Iter 240/350 | Mean Reward=488.00
Saved latest PG checkpoint (iter 240) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 241/350 | Mean Reward=448.33
[PG] Iter 242/350 | Mean Reward=347.00
[PG] Iter 243/350 | Mean Reward=424.33
[PG] Iter 244/350 | Mean Reward=364.67
[PG] Iter 245/350 | Mean Reward=469.00
[PG] Iter 246/350 | Mean Reward=500.00
[PG] Iter 247/350 | Mean Reward=500.00
[PG] Iter 248/350 | Mean Reward=500.00
[PG] Iter 249/350 | Mean Reward=431.33
[PG] Iter 250/350 | Mean Reward=468.67
Saved latest PG checkpoint (iter 250) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 251/350 | Mean Reward=494.67
[PG] Iter 252/350 | Mean Reward=498.00
[PG] Iter 253/350 | Mean Reward=357.00
[PG] Iter 254/350 | Mean Reward=500.00
[PG] Iter 255/350 | Mean Reward=500.00
[PG] Iter 256/350 | Mean Reward=500.00
[PG] Iter 257/350 | Mean Reward=401.33
[PG] Iter 258/350 | Mean Reward=416.33
[PG] Iter 259/350 | Mean Reward=308.25
[PG] Iter 260/350 | Mean Reward=368.67
Saved latest PG checkpoint (iter 260) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 261/350 | Mean Reward=491.00
[PG] Iter 262/350 | Mean Reward=348.67
[PG] Iter 263/350 | Mean Reward=267.50
[PG] Iter 264/350 | Mean Reward=377.33
[PG] Iter 265/350 | Mean Reward=338.33
[PG] Iter 266/350 | Mean Reward=396.00
[PG] Iter 267/350 | Mean Reward=500.00
[PG] Iter 268/350 | Mean Reward=305.75
[PG] Iter 269/350 | Mean Reward=500.00
[PG] Iter 270/350 | Mean Reward=349.75
Saved latest PG checkpoint (iter 270) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 271/350 | Mean Reward=397.33
[PG] Iter 272/350 | Mean Reward=500.00
[PG] Iter 273/350 | Mean Reward=500.00
[PG] Iter 274/350 | Mean Reward=455.67
[PG] Iter 275/350 | Mean Reward=500.00
[PG] Iter 276/350 | Mean Reward=400.33
[PG] Iter 277/350 | Mean Reward=500.00
[PG] Iter 278/350 | Mean Reward=500.00
[PG] Iter 279/350 | Mean Reward=500.00
[PG] Iter 280/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 280) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 281/350 | Mean Reward=478.33
[PG] Iter 282/350 | Mean Reward=500.00
[PG] Iter 283/350 | Mean Reward=424.67
[PG] Iter 284/350 | Mean Reward=423.33
[PG] Iter 285/350 | Mean Reward=448.00
[PG] Iter 286/350 | Mean Reward=500.00
[PG] Iter 287/350 | Mean Reward=432.33
[PG] Iter 288/350 | Mean Reward=463.67
[PG] Iter 289/350 | Mean Reward=318.00
[PG] Iter 290/350 | Mean Reward=391.00
Saved latest PG checkpoint (iter 290) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 291/350 | Mean Reward=412.00
[PG] Iter 292/350 | Mean Reward=352.67
[PG] Iter 293/350 | Mean Reward=287.25
[PG] Iter 294/350 | Mean Reward=500.00
[PG] Iter 295/350 | Mean Reward=492.00
[PG] Iter 296/350 | Mean Reward=414.33
[PG] Iter 297/350 | Mean Reward=500.00
[PG] Iter 298/350 | Mean Reward=462.33
