Using device: cpu
PG training on CartPole-v1 | reward_to_go=False adv_norm=False
[PG] Iter 239/350 | Mean Reward=139.28
[PG] Iter 240/350 | Mean Reward=148.47
Saved latest PG checkpoint (iter 240) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 241/350 | Mean Reward=141.69
[PG] Iter 242/350 | Mean Reward=164.90
[PG] Iter 243/350 | Mean Reward=152.88
[PG] Iter 244/350 | Mean Reward=160.84
[PG] Iter 245/350 | Mean Reward=149.65
[PG] Iter 246/350 | Mean Reward=156.53
[PG] Iter 247/350 | Mean Reward=163.97
[PG] Iter 248/350 | Mean Reward=163.81
[PG] Iter 249/350 | Mean Reward=171.40
[PG] Iter 250/350 | Mean Reward=186.33
Saved latest PG checkpoint (iter 250) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 251/350 | Mean Reward=200.44
[PG] Iter 252/350 | Mean Reward=218.61
[PG] Iter 253/350 | Mean Reward=218.39
[PG] Iter 254/350 | Mean Reward=232.52
[PG] Iter 255/350 | Mean Reward=238.59
[PG] Iter 256/350 | Mean Reward=276.63
[PG] Iter 257/350 | Mean Reward=319.00
[PG] Iter 258/350 | Mean Reward=294.47
[PG] Iter 259/350 | Mean Reward=341.73
[PG] Iter 260/350 | Mean Reward=316.38
Saved latest PG checkpoint (iter 260) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 261/350 | Mean Reward=313.71
[PG] Iter 262/350 | Mean Reward=322.31
[PG] Iter 263/350 | Mean Reward=321.25
[PG] Iter 264/350 | Mean Reward=367.43
[PG] Iter 265/350 | Mean Reward=374.50
[PG] Iter 266/350 | Mean Reward=277.83
[PG] Iter 267/350 | Mean Reward=365.86
[PG] Iter 268/350 | Mean Reward=364.21
[PG] Iter 269/350 | Mean Reward=374.86
[PG] Iter 270/350 | Mean Reward=441.00
Saved latest PG checkpoint (iter 270) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 271/350 | Mean Reward=357.14
[PG] Iter 272/350 | Mean Reward=351.87
[PG] Iter 273/350 | Mean Reward=362.64
[PG] Iter 274/350 | Mean Reward=369.21
[PG] Iter 275/350 | Mean Reward=417.46
[PG] Iter 276/350 | Mean Reward=326.75
[PG] Iter 277/350 | Mean Reward=392.64
[PG] Iter 278/350 | Mean Reward=380.21
[PG] Iter 279/350 | Mean Reward=320.75
[PG] Iter 280/350 | Mean Reward=361.64
Saved latest PG checkpoint (iter 280) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 281/350 | Mean Reward=359.27
[PG] Iter 282/350 | Mean Reward=258.80
[PG] Iter 283/350 | Mean Reward=317.53
[PG] Iter 284/350 | Mean Reward=320.00
[PG] Iter 285/350 | Mean Reward=295.50
[PG] Iter 286/350 | Mean Reward=319.75
[PG] Iter 287/350 | Mean Reward=268.68
[PG] Iter 288/350 | Mean Reward=285.56
[PG] Iter 289/350 | Mean Reward=283.06
[PG] Iter 290/350 | Mean Reward=289.78
Saved latest PG checkpoint (iter 290) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 291/350 | Mean Reward=276.95
[PG] Iter 292/350 | Mean Reward=283.78
[PG] Iter 293/350 | Mean Reward=298.53
[PG] Iter 294/350 | Mean Reward=316.31
[PG] Iter 295/350 | Mean Reward=337.33
[PG] Iter 296/350 | Mean Reward=248.24
[PG] Iter 297/350 | Mean Reward=235.32
[PG] Iter 298/350 | Mean Reward=264.05
[PG] Iter 299/350 | Mean Reward=276.42
[PG] Iter 300/350 | Mean Reward=311.88
Saved latest PG checkpoint (iter 300) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 301/350 | Mean Reward=295.88
[PG] Iter 302/350 | Mean Reward=254.10
[PG] Iter 303/350 | Mean Reward=279.83
[PG] Iter 304/350 | Mean Reward=265.47
[PG] Iter 305/350 | Mean Reward=262.30
[PG] Iter 306/350 | Mean Reward=242.05
[PG] Iter 307/350 | Mean Reward=207.76
[PG] Iter 308/350 | Mean Reward=245.19
[PG] Iter 309/350 | Mean Reward=264.68
[PG] Iter 310/350 | Mean Reward=219.48
