Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 215/350 | Mean Reward=486.00
[PG] Iter 216/350 | Mean Reward=500.00
[PG] Iter 217/350 | Mean Reward=479.82
[PG] Iter 218/350 | Mean Reward=500.00
[PG] Iter 219/350 | Mean Reward=484.73
[PG] Iter 220/350 | Mean Reward=496.45
Saved latest PG checkpoint (iter 220) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 221/350 | Mean Reward=500.00
[PG] Iter 222/350 | Mean Reward=500.00
[PG] Iter 223/350 | Mean Reward=500.00
[PG] Iter 224/350 | Mean Reward=500.00
[PG] Iter 225/350 | Mean Reward=485.09
[PG] Iter 226/350 | Mean Reward=500.00
[PG] Iter 227/350 | Mean Reward=500.00
[PG] Iter 228/350 | Mean Reward=500.00
[PG] Iter 229/350 | Mean Reward=468.09
[PG] Iter 230/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 230) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 231/350 | Mean Reward=474.00
[PG] Iter 232/350 | Mean Reward=500.00
[PG] Iter 233/350 | Mean Reward=500.00
[PG] Iter 234/350 | Mean Reward=500.00
[PG] Iter 235/350 | Mean Reward=500.00
[PG] Iter 236/350 | Mean Reward=500.00
[PG] Iter 237/350 | Mean Reward=500.00
[PG] Iter 238/350 | Mean Reward=500.00
[PG] Iter 239/350 | Mean Reward=500.00
[PG] Iter 240/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 240) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 241/350 | Mean Reward=500.00
[PG] Iter 242/350 | Mean Reward=500.00
[PG] Iter 243/350 | Mean Reward=500.00
[PG] Iter 244/350 | Mean Reward=500.00
[PG] Iter 245/350 | Mean Reward=497.91
[PG] Iter 246/350 | Mean Reward=483.36
[PG] Iter 247/350 | Mean Reward=500.00
[PG] Iter 248/350 | Mean Reward=455.82
[PG] Iter 249/350 | Mean Reward=500.00
[PG] Iter 250/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 250) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 251/350 | Mean Reward=470.18
[PG] Iter 252/350 | Mean Reward=496.36
[PG] Iter 253/350 | Mean Reward=498.73
[PG] Iter 254/350 | Mean Reward=490.73
[PG] Iter 255/350 | Mean Reward=489.55
[PG] Iter 256/350 | Mean Reward=482.82
[PG] Iter 257/350 | Mean Reward=500.00
[PG] Iter 258/350 | Mean Reward=485.18
[PG] Iter 259/350 | Mean Reward=476.36
[PG] Iter 260/350 | Mean Reward=473.09
Saved latest PG checkpoint (iter 260) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 261/350 | Mean Reward=500.00
[PG] Iter 262/350 | Mean Reward=498.00
[PG] Iter 263/350 | Mean Reward=473.18
[PG] Iter 264/350 | Mean Reward=487.09
