Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 337/500 | Mean Reward=83.31
[PG] Iter 338/500 | Mean Reward=81.85
[PG] Iter 339/500 | Mean Reward=85.30
[PG] Iter 340/500 | Mean Reward=108.12
Saved latest PG checkpoint (iter 340) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 341/500 | Mean Reward=59.17
[PG] Iter 342/500 | Mean Reward=102.83
[PG] Iter 343/500 | Mean Reward=91.96
[PG] Iter 344/500 | Mean Reward=115.77
[PG] Iter 345/500 | Mean Reward=95.94
[PG] Iter 346/500 | Mean Reward=129.29
[PG] Iter 347/500 | Mean Reward=141.13
[PG] Iter 348/500 | Mean Reward=120.08
[PG] Iter 349/500 | Mean Reward=58.00
[PG] Iter 350/500 | Mean Reward=90.51
Saved latest PG checkpoint (iter 350) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 351/500 | Mean Reward=53.98
[PG] Iter 352/500 | Mean Reward=121.55
[PG] Iter 353/500 | Mean Reward=96.27
[PG] Iter 354/500 | Mean Reward=107.27
[PG] Iter 355/500 | Mean Reward=99.37
[PG] Iter 356/500 | Mean Reward=82.55
[PG] Iter 357/500 | Mean Reward=63.03
[PG] Iter 358/500 | Mean Reward=106.49
[PG] Iter 359/500 | Mean Reward=124.09
[PG] Iter 360/500 | Mean Reward=120.55
Saved latest PG checkpoint (iter 360) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 361/500 | Mean Reward=92.98
[PG] Iter 362/500 | Mean Reward=100.67
[PG] Iter 363/500 | Mean Reward=63.92
[PG] Iter 364/500 | Mean Reward=128.58
[PG] Iter 365/500 | Mean Reward=62.67
[PG] Iter 366/500 | Mean Reward=80.05
[PG] Iter 367/500 | Mean Reward=129.74
[PG] Iter 368/500 | Mean Reward=123.71
[PG] Iter 369/500 | Mean Reward=79.19
[PG] Iter 370/500 | Mean Reward=107.41
Saved latest PG checkpoint (iter 370) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 371/500 | Mean Reward=89.21
[PG] Iter 372/500 | Mean Reward=112.37
[PG] Iter 373/500 | Mean Reward=113.54
[PG] Iter 374/500 | Mean Reward=144.34
[PG] Iter 375/500 | Mean Reward=51.92
[PG] Iter 376/500 | Mean Reward=86.48
[PG] Iter 377/500 | Mean Reward=113.33
[PG] Iter 378/500 | Mean Reward=131.84
[PG] Iter 379/500 | Mean Reward=102.71
[PG] Iter 380/500 | Mean Reward=111.57
Saved latest PG checkpoint (iter 380) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 381/500 | Mean Reward=64.05
[PG] Iter 382/500 | Mean Reward=81.10
[PG] Iter 383/500 | Mean Reward=110.34
[PG] Iter 384/500 | Mean Reward=97.36
[PG] Iter 385/500 | Mean Reward=93.79
[PG] Iter 386/500 | Mean Reward=97.94
[PG] Iter 387/500 | Mean Reward=62.14
[PG] Iter 388/500 | Mean Reward=90.64
[PG] Iter 389/500 | Mean Reward=121.11
[PG] Iter 390/500 | Mean Reward=123.25
Saved latest PG checkpoint (iter 390) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 391/500 | Mean Reward=90.85
[PG] Iter 392/500 | Mean Reward=100.35
[PG] Iter 393/500 | Mean Reward=106.03
[PG] Iter 394/500 | Mean Reward=79.73
[PG] Iter 395/500 | Mean Reward=43.23
[PG] Iter 396/500 | Mean Reward=92.66
[PG] Iter 397/500 | Mean Reward=95.64
[PG] Iter 398/500 | Mean Reward=118.17
[PG] Iter 399/500 | Mean Reward=116.87
[PG] Iter 400/500 | Mean Reward=106.88
Saved latest PG checkpoint (iter 400) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 401/500 | Mean Reward=60.15
[PG] Iter 402/500 | Mean Reward=103.09
[PG] Iter 403/500 | Mean Reward=143.81
[PG] Iter 404/500 | Mean Reward=109.30
[PG] Iter 405/500 | Mean Reward=146.94
[PG] Iter 406/500 | Mean Reward=140.83
[PG] Iter 407/500 | Mean Reward=138.71
[PG] Iter 408/500 | Mean Reward=130.28
[PG] Iter 409/500 | Mean Reward=145.81
[PG] Iter 410/500 | Mean Reward=127.68
Saved latest PG checkpoint (iter 410) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 411/500 | Mean Reward=106.21
[PG] Iter 412/500 | Mean Reward=121.28
[PG] Iter 413/500 | Mean Reward=150.32
[PG] Iter 414/500 | Mean Reward=133.83
[PG] Iter 415/500 | Mean Reward=117.93
[PG] Iter 416/500 | Mean Reward=125.75
[PG] Iter 417/500 | Mean Reward=128.61
[PG] Iter 418/500 | Mean Reward=137.25
[PG] Iter 419/500 | Mean Reward=139.66
[PG] Iter 420/500 | Mean Reward=113.44
Saved latest PG checkpoint (iter 420) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 421/500 | Mean Reward=78.63
