Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 242/500 | Mean Reward=46.99
[PG] Iter 243/500 | Mean Reward=64.83
[PG] Iter 244/500 | Mean Reward=26.77
[PG] Iter 245/500 | Mean Reward=40.01
[PG] Iter 246/500 | Mean Reward=40.19
[PG] Iter 247/500 | Mean Reward=33.43
[PG] Iter 248/500 | Mean Reward=24.73
[PG] Iter 249/500 | Mean Reward=17.28
[PG] Iter 250/500 | Mean Reward=23.69
Saved latest PG checkpoint (iter 250) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 251/500 | Mean Reward=45.58
[PG] Iter 252/500 | Mean Reward=16.41
[PG] Iter 253/500 | Mean Reward=-4.06
[PG] Iter 254/500 | Mean Reward=53.95
[PG] Iter 255/500 | Mean Reward=32.97
[PG] Iter 256/500 | Mean Reward=22.68
[PG] Iter 257/500 | Mean Reward=56.07
[PG] Iter 258/500 | Mean Reward=49.84
[PG] Iter 259/500 | Mean Reward=36.51
[PG] Iter 260/500 | Mean Reward=53.59
Saved latest PG checkpoint (iter 260) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 261/500 | Mean Reward=-36.70
[PG] Iter 262/500 | Mean Reward=33.27
[PG] Iter 263/500 | Mean Reward=34.08
[PG] Iter 264/500 | Mean Reward=101.87
[PG] Iter 265/500 | Mean Reward=19.61
[PG] Iter 266/500 | Mean Reward=4.83
[PG] Iter 267/500 | Mean Reward=21.80
[PG] Iter 268/500 | Mean Reward=28.39
[PG] Iter 269/500 | Mean Reward=-15.55
[PG] Iter 270/500 | Mean Reward=16.09
Saved latest PG checkpoint (iter 270) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 271/500 | Mean Reward=27.60
[PG] Iter 272/500 | Mean Reward=24.26
[PG] Iter 273/500 | Mean Reward=84.04
[PG] Iter 274/500 | Mean Reward=22.62
[PG] Iter 275/500 | Mean Reward=99.27
[PG] Iter 276/500 | Mean Reward=18.83
[PG] Iter 277/500 | Mean Reward=77.45
[PG] Iter 278/500 | Mean Reward=69.80
[PG] Iter 279/500 | Mean Reward=92.77
[PG] Iter 280/500 | Mean Reward=21.10
Saved latest PG checkpoint (iter 280) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 281/500 | Mean Reward=70.20
[PG] Iter 282/500 | Mean Reward=-57.29
[PG] Iter 283/500 | Mean Reward=78.59
[PG] Iter 284/500 | Mean Reward=24.37
[PG] Iter 285/500 | Mean Reward=60.91
[PG] Iter 286/500 | Mean Reward=59.29
